danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,popularity,explicit,id,name,release_date,artists,available_markets,tempo,loudness,duration_min
0.579,0.928,0,1,0.0411,0.000715,0.0,0.18,0.882,0.74,0,1fJFuvU2ldmeAm5nFIHcPP,First Date,2001,['blink-182'],0.9746835443037974,1,5,3
0.52,0.775,0,1,0.0348,0.034,0.0,0.364,0.382,0.7,0,6xpDh0dXrkVp0Po1qrHUd8,Adam's Song,1999-06-01,['blink-182'],1.0,3,3,4
0.41,0.959,9,1,0.0869,0.000324,0.0,0.0766,0.83,0.67,1,2ydUT1pFhuLDnouelIv4WH,The Rock Show,2001,['blink-182'],0.9746835443037974,6,4,3
0.615,0.81,1,0,0.0506,0.0358,0.0,0.289,0.728,0.66,0,6KWcq5p0wsz97N3eoRUSH6,I Really Wish I Hated You,2019-09-20,['blink-182'],1.0,3,2,3
0.4970000000000001,0.923,4,1,0.11,0.00627,0.0,0.08199999999999999,0.545,0.66,0,39n1y2JqVOPIdfUeLqzgfl,Darkside,2019-09-20,['blink-182'],1.0,4,6,3
0.411,0.962,4,1,0.0917,0.103,0.0,0.529,0.622,0.65,1,26AYR77170U49cMcXB7aRV,Feeling This,2003-11-01,['blink-182'],0.9746835443037974,5,3,3
0.418,0.602,2,1,0.0275,0.073,0.0,0.151,0.218,0.64,1,2Srbekd8waUUAr0gIMt5dg,Scumbag (feat. blink-182),2019-10-30,"['Goody Grace', 'blink-182']",1.0,5,2,4
0.33799999999999997,0.34,9,0,0.0339,0.58,0.0032,0.11599999999999999,0.19699999999999998,0.78,0,5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - 2012 Remaster,1971-11-08,['Led Zeppelin'],1.0,1,3,8
0.564,0.932,11,1,0.0554,0.013000000000000001,0.16899999999999998,0.349,0.619,0.77,0,78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,1970,['Led Zeppelin'],0.9873417721518988,3,5,2
0.41200000000000003,0.902,9,1,0.405,0.0484,0.131,0.405,0.42200000000000004,0.76,0,0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,1969-10-22,['Led Zeppelin'],1.0,1,4,6
