genres,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,label
basshall,0.12342000000000003,0.7645000000000001,0.7490000000000001,2.6000000000000002e-05,0.2259,0.10815,0.6675,2
bassline,0.22970854166666665,0.6165333333333334,0.7397666666666667,0.101365225,0.146395,0.11858250000000001,0.52995,3
bath indie,0.105308,0.6174999999999999,0.71075,0.1773245,0.153675,0.048475,0.53125,2
baton rouge indie,0.23,0.6809999999999999,0.655,0.0,0.289,0.0472,0.701,2
baton rouge rap,0.11821456066886983,0.7567621617965369,0.6616156878092144,0.004579493503932823,0.1767243933596166,0.20626514484771186,0.5207207695578232,2
battle rap,0.07122859343201603,0.6919477063259322,0.7522205017921149,0.00033111843493227204,0.2652316480007448,0.2551140467346274,0.5559180524135363,2
bay area hip hop,0.09065,0.8160000000000001,0.7215,0.0,0.12415,0.28800000000000003,0.589,2
bay area indie,0.28995782222222216,0.4762388888888888,0.6579222222222221,0.14099655155555554,0.17109166666666667,0.06713666666666666,0.4859000000000001,3
bboy,0.1831132476190476,0.7007015079365079,0.6607052380952381,0.21678668835952386,0.16736822222222222,0.12835433333333332,0.6641138095238096,2
bc underground hip hop,0.144375,0.769125,0.6083750000000001,1.6625e-05,0.23525,0.26145,0.67025,2
beach music,0.6641395833333334,0.5777854166666667,0.40775416666666653,0.0002316190625,0.2239833333333333,0.08033166666666668,0.58604375,4
beat italiano,0.22876666666666665,0.485,0.6048333333333333,0.00016485,0.209,0.0354,0.635,3
