,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence
80,0.992,['Shaykha bint Haniyya'],0.638,192600,0.733,0,2Ocbjhki0pWMCm6Odrq850,0.907,9,0.188,-11.134,1,"“Dhikr bent Haniyya we-Haddûn""",0,1920-01-01,0.0389,96.23,0.718
81,0.71,['South Shore Singers'],0.326,220003,0.401,0,2SQPbZQWoI1EVWh0YN3zXO,0.0,7,0.0903,-12.143,1,I'll See You in C U B A,0,1920,0.0467,149.048,0.201
82,0.995,['Amalia Vaka'],0.287,216720,0.621,0,2XVujD5mP2bMSXLkpqeWKU,0.784,3,0.151,-10.843,0,Argilamas kai psarades,0,1920-01-01,0.0394,77.537,0.559
83,0.855,['South Shore Singers'],0.69,205140,0.419,0,2YhYGZJExSEpVb42iP8QYy,0.0,5,0.163,-14.442,0,My Little Bimbo,0,1920,0.0322,100.011,0.815
84,0.932,['Marika Papagkika'],0.382,231400,0.492,0,2ZZ4rkQvNDkQt86sdwd398,0.0137,1,0.157,-8.321,1,Sti filaki me valane,0,1920-01-01,0.0345,88.525,0.64
85,0.0123,['Justrock'],0.526,284165,0.933,0,2e9fGpMVXdp8vj5YpSxd0B,0.455,0,0.11,-5.855,0,Head Off,0,1920-01-01,0.236,125.059,0.335
86,0.117,"['ST', '1920Johnny', 'Niklas O', 'Yahziz', 'Kaizoku']",0.842,227500,0.382,1,2gUkW0vlRnpcX57aESZWHQ,0.0,3,0.0882,-10.918,0,Radar,0,1920,0.509,137.98,0.493
87,0.434,"['ST', '1920Johnny', '98', 'Barracuda', 'Niklas O']",0.685,244219,0.458,1,2gzzgyvxUNjF1Q6B2zjjef,1.45e-06,9,0.304,-8.903,1,Four,0,1920,0.26,149.987,0.456
88,0.996,['Francisco Canaro'],0.433,148720,0.322,0,2ijTs6mInatQG5cbElWaP3,0.983,9,0.216,-16.077,1,Tierrita - Remasterizado,0,1920-07-08,0.0414,133.515,0.763
89,0.000181,['Two Charming Men'],0.739,335176,0.738,0,2jLH2nQ5GtKFcPaKkIPdPs,0.89,1,0.125,-7.457,0,Brusque - Dynasty Remix,0,1920-01-01,0.101,128.004,0.236
90,0.994,['Abd al-Qâdir Battîta'],0.535,174707,0.411,0,2mg0rgYEbuUJbQcPW195k7,0.106,11,0.583,-13.616,1,"“Aytat ed-Dâr el-Beydâ"", II",0,1920-01-01,0.0909,74.763,0.79
91,0.994,['Berthe Sylva'],0.446,183093,0.103,0,2oRDv2SU6nuFQKYWEoyTUY,0.000419,1,0.432,-15.88,1,Du Gris,0,1920,0.0509,121.657,0.373
92,0.995,['Bonheur Alice'],0.427,196200,0.147,0,2tvg1EATUx6VKS5ybpvhRa,0.0,5,0.399,-18.076,0,Bien Chapeautée,0,1920,0.0768,86.427,0.552
93,0.0462,['Zheiko'],0.804,254764,0.662,0,2yNQVRy7nlVepnqxgerxH2,0.0516,1,0.105,-7.964,1,Locura,0,1920-04-23,0.0816,130.003,0.337
94,0.00508,['Aaron Beta'],0.487,307749,0.709,0,2yz9R2XjQ7v5uj8N4bzrz3,0.863,1,0.0634,-8.879,1,Born Up - Original Mix,0,1920-01-01,0.194,128.069,0.392
95,0.253,['No.Losiento'],0.604,149677,0.782,0,2zDLChc7oaaMRCWXL6GGtB,0.914,8,0.102,-7.859,0,A Flower's Theme,0,1920-01-01,0.0514,93.022,0.848
96,0.0313,['Claudia Robine'],0.801,242800,0.23,0,344JRi2uvqmVOs2S1kF7Lm,6.07e-06,0,0.0601,-20.874,1,Twice My Age,1,1920-01-03,0.2,184.062,0.666
97,0.995,['Mamie Smith & Her Jazz Hounds'],0.548,163867,0.242,0,34quhtd2AfsCt4NUxC5WwU,0.00333,3,0.443,-12.162,1,Dem Knock-Out Blues,0,1920,0.0647,143.341,0.712
98,0.993,['Azzûz ibn Nânî'],0.409,179520,0.296,0,34zQJSPcASgZDRBb1GU8Ps,0.838,7,0.136,-15.112,0,"Sanat shughl “Yâ jâr""",0,1920-01-01,0.0654,129.421,0.463
99,0.996,['Mamie Smith & Her Jazz Hounds'],0.672,183333,0.212,0,35Isk2sBRwDbvg1YEshvOv,0.0307,2,0.271,-13.083,1,I Ain't Gonna Give Nobody None O' This Jelly Roll,0,1920,0.053,119.95,0.566
100,0.732,['Dennis Day'],0.819,180533,0.341,0,7xPhfUan2yNtyFG0cUWkt8,0.0,7,0.16,-12.441,1,Clancy Lowered the Boom,9,1921,0.415,60.936,0.963
